id;category;lv;srl;src;img;audio;ru;en;sr-ex;ru-ex;en-ex
15;general;2;Volimo;Волимо;assets/images/words/volimo.png;assets/sounds/words/volimo.wav;Любим;We love / we like;Volimo naš grad. Volimo da putujemo. Mi volimo leto.;Мы любим наш город. Мы любим путешествовать. Мы любим лето.;We love our city. We love to travel. We love summer.
16;general;2;Radiš;Радиш;assets/images/words/radis.png;assets/sounds/words/radis.wav;Работаешь;You work / you do;Gde radiš? Šta radiš večeras? Ti radiš previše.;Где ты работаешь? Что ты делаешь вечером? Ты слишком много работаешь.;Where do you work? What are you doing tonight? You work too much.
17;general;2;Radimo;Радимо;assets/images/words/radimo.png;assets/sounds/words/radimo.wav;Работаем;We work / we do;Radimo zajedno. Mi radimo u fabrici. Radimo svaki dan.;Мы работаем вместе. Мы работаем на фабрике. Мы работаем каждый день.;We work together. We work at a factory. We work every day.
18;general;2;Znaš;Знаш;assets/images/words/znas.png;assets/sounds/words/znas.wav;Знаешь;You know;Znaš li odgovor? Ti znaš mnogo jezika. Znaš gde je stanica?;Ты знаешь ответ? Ты знаешь много языков. Ты знаешь, где остановка?;Do you know the answer? You know many languages. Do you know where the station is?
19;general;2;Znamo;Знамо;assets/images/words/znamo.png;assets/sounds/words/znamo.wav;Знаем;We know;Mi znamo istinu. Znamo put do kuće. Znamo tvoje ime.;Мы знаем правду. Мы знаем дорогу домой. Мы знаем твоё имя.;We know the truth. We know the way home. We know your name.
20;general;2;Idemo;Идемо;assets/images/words/idemo.png;assets/sounds/words/idemo.wav;Идём;We go / we are going;Idemo na plažu. Mi idemo kući. Idemo zajedno u grad.;Мы идём на пляж. Мы идём домой. Мы идём вместе в город.;We are going to the beach. We are going home. We are going to the city together.
21;general;2;Ideš;Идеш;assets/images/words/ides.png;assets/sounds/words/ides.wav;Идёшь;You go / you are going;Kuda ideš? Ti ideš prebrzo. Ideš li sutra na posao?;Куда ты идёшь? Ты идёшь слишком быстро. Ты идёшь завтра на работу?;Where are you going? You're walking too fast. Are you going to work tomorrow?
22;general;1;Mesto;Место;assets/images/words/mesto.png;assets/sounds/words/mesto.wav;Место;Place;Ovo je lepo mesto. Znam dobro mesto. To mesto je daleko.;Это красивое место. Я знаю хорошее место. Это место далеко.;This is a nice place. I know a good place. That place is far away.
23;general;1;Ali;Али;assets/images/words/ali.png;assets/sounds/words/ali.wav;Но;But;Umoran sam, ali srećan. Želim doći, ali ne. Mala je, ali jaka.;Я устал, но счастлив. Хочу прийти, но нет. Она маленькая, но сильная.;I am tired, but happy. I want to, but can't. She is small, but strong.
24;general;2;Vi;Ви;assets/images/words/vi.png;assets/sounds/words/vi.wav;Вы;You (plural / formal);Vi ste moji gosti. Odakle ste vi? Vi radite ovde?;Вы мои гости. Откуда вы? Вы здесь работаете?;You are my guests. Where are you from? Do you work here?
25;general;1;On;Он;assets/images/words/on.png;assets/sounds/words/on.wav;Он;He;On je moj brat. On radi u banci. On voli fudbal.;Он мой брат. Он работает в банке. Он любит футбол.;He is my brother. He works at a bank. He loves football.
26;general;2;Ona;Она;assets/images/words/ona.png;assets/sounds/words/ona.wav;Она;She;Ona je moja sestra. Ona voli knjige. Ona živi u Beogradu.;Она моя сестра. Она любит книги. Она живёт в Белграде.;She is my sister. She loves books. She lives in Belgrade.
27;general;1;Je;Је;assets/images/words/je.png;assets/sounds/words/je.wav;Есть;Is;Grammar. Ovo je moja kuća. Vreme je lepo.;«je» — форма глагола «biti» (быть) для 3-го лица единственного числа (on/ona/ono + je). Это мой дом. Погода хорошая.;"je is the 3rd person singular form of the verb ""biti"" (to be) (on/ona/ono + je). This is my house. The weather is nice."
28;general;1;Ste;Сте;assets/images/words/ste.png;assets/sounds/words/ste.wav;(вы) есть;(You) are;Grammar. Vi ste u pravu. Da li ste gladni?;«ste» — форма глагола «biti» (быть) для 2-го лица множественного числа (vi + ste). Вы правы. Вы голодны?;"ste is the 2nd person plural form of the verb ""biti"" (to be) (vi + ste). You are right. Are you hungry?"
29;general;2;Ima;Има;assets/images/words/ima.png;assets/sounds/words/ima.wav;Имеет;Has / there is;On ima psa. Ima li mesta? Ima puno ljudi ovde.;У него есть собака. Есть ли место? Здесь много людей.;He has a dog. Is there room? There are a lot of people here.
30;general;2;Imate;Имате;assets/images/words/imate.png;assets/sounds/words/imate.wav;Имеете;You have;Imate li vremena? Vi imate lepu kuću. Imate li dece?;У вас есть время? У вас красивый дом. У вас есть дети?;Do you have time? You have a nice house. Do you have children?
31;general;2;Voli;Воли;assets/images/words/voli.png;assets/sounds/words/voli.wav;Любит;Loves / likes;Ona voli čokoladu. On voli da čita. Mačka voli sunce.;Она любит шоколад. Он любит читать. Кошка любит солнце.;She loves chocolate. He loves to read. The cat loves the sun.
32;general;2;Volite;Волите;assets/images/words/volite.png;assets/sounds/words/volite.wav;Любите;You love / you like;Šta volite da radite? Volite li putovanja? Vi volite muziku.;Что вы любите делать? Вы любите путешествия? Вы любите музыку.;What do you like to do? Do you like traveling? You love music.
33;general;2;Jede;Једе;assets/images/words/jede.png;assets/sounds/words/jede.wav;Ест;Eats;On jede sporo. Dete jede voće. Ona jede zdravo.;Он ест медленно. Ребёнок ест фрукты. Она ест полезную еду.;He eats slowly. The child eats fruit. She eats healthy food.
34;general;2;Pije;Пије;assets/images/words/pije.png;assets/sounds/words/pije.wav;Пьёт;Drinks;On pije kafu svako jutro. Ona pije čaj sa medom. Dete pije mleko.;Он пьёт кофе каждое утро. Она пьёт чай с мёдом. Ребёнок пьёт молоко.;He drinks coffee every morning. She drinks tea with honey. The child drinks milk.
35;general;2;Zna;Зна;assets/images/words/zna.png;assets/sounds/words/zna.wav;Знает;Knows;On zna odgovor. Ona zna tri jezika. Zna li put?;Он знает ответ. Она знает три языка. Он знает дорогу?;He knows the answer. She knows three languages. Does he know the way?
36;general;2;Znate;Знате;assets/images/words/znate.png;assets/sounds/words/znate.wav;Знаете;You know;Znate li gde je pošta? Vi znate mnogo o tome. Znate li koliko je sati?;Вы знаете, где почта? Вы много об этом знаете. Вы знаете, который час?;Do you know where the post office is? You know a lot about that. Do you know what time it is?
37;general;2;Radi;Ради;assets/images/words/radi.png;assets/sounds/words/radi.wav;Работает;Works / does;On radi u školi. Šta ona radi? Radi svaki dan.;Он работает в школе. Что она делает? Он работает каждый день.;He works at a school. What is she doing? He works every day.
38;general;2;Radite;Радите;assets/images/words/radite.png;assets/sounds/words/radite.wav;Работаете;You work / you do;Gde radite? Šta radite večeras? Radite li subotom?;Где вы работаете? Что вы делаете вечером? Вы работаете по субботам?;Where do you work? What are you doing tonight? Do you work on Saturdays?
39;general;2;Ide;Иде;assets/images/words/ide.png;assets/sounds/words/ide.wav;Идёт;Goes / is going;On ide u školu. Autobus ide kasno. Ide li ona sa nama?;Он идёт в школу. Автобус едет с опозданием. Она идёт с нами?;He is going to school. The bus is running late. Is she coming with us?
40;general;2;Idete;Идете;assets/images/words/idete.png;assets/sounds/words/idete.wav;Идёте;You go / you are going;Kuda idete? Idete li peške? Vi idete prebrzo.;Куда вы идёте? Вы идёте пешком? Вы идёте слишком быстро.;Where are you going? Are you going on foot? You are walking too fast.
41;general;1;Čovek;Човек;assets/images/words/covek.png;assets/sounds/words/covek.wav;Человек;Man / person;On je dobar čovek. Svaki čovek ima izbor. Video sam čoveka napolju.;Он хороший человек. У каждого человека есть выбор. Я видел человека на улице.;He is a good man. Every person has a choice. I saw a man outside.
42;general;1;Hladno;Хладно;assets/images/words/hladno.png;assets/sounds/words/hladno.wav;Холодно;Cold;Napolju je hladno. Voda je hladna. Hladno mi je.;На улице холодно. Вода холодная. Мне холодно.;It's cold outside. The water is cold. I am cold.
43;general;1;Toplo;Топло;assets/images/words/toplo.png;assets/sounds/words/toplo.wav;Тепло;Warm;Danas je toplo. Supa je topla. Toplo mi je jakni.;Сегодня тепло. Суп тёплый. Мне тепло в куртке.;It's warm today. The soup is warm. I'm warm in the jacket.
44;general;1;Sada;Сада;assets/images/words/sada.png;assets/sounds/words/sada.wav;Сейчас;Now;Sada moram da idem. Šta radiš sada? Sada je pravo vreme.;Сейчас мне нужно идти. Что ты сейчас делаешь? Сейчас самое подходящее время.;I have to go now. What are you doing now? Now is the right time.
45;general;1;Gde;Где;assets/images/words/gde.png;assets/sounds/words/gde.wav;Где;Where;Gde je stanica? Ne znam gde telefon. Gde sada ideš?;Где остановка? Не знаю, где телефон. Куда ты сейчас идёшь?;Where is the station? I don't know where the phone is. Where are you going now?
46;general;1;Šta;Шта;assets/images/words/sta.png;assets/sounds/words/sta.wav;Что;What;Šta sada radiš? Šta je ovo? Ne znam šta reći.;Что ты сейчас делаешь? Что это? Я не знаю, что сказать.;What are you doing now? What is this? I don't know what to say.
47;general;1;Dobro;Добро;assets/images/words/dobro.png;assets/sounds/words/dobro.wav;Хорошо;Well / good / OK;Osećam se dobro. Dobro jutro, prijatelju. To zvuči dobro.;Я чувствую себя хорошо. Доброе утро, друг. Звучит хорошо.;I feel well. Good morning, friend. That sounds good.
48;general;1;I;И;assets/images/words/i.png;assets/sounds/words/i.wav;И;And;Ja i ti. Kupio sam hleb, mleko. Sunčano i toplo je.;Я и ты. Я купил хлеб, молоко. Солнечно и тепло.;You and I. I bought bread, milk. It's sunny and warm.
49;general;1;Loš;Лош;assets/images/words/los.png;assets/sounds/words/los.wav;Плохой;Bad;Ovo je loš dan. On je loš vozač. Imam loš osećaj.;Это плохой день. Он плохой водитель. У меня плохое предчувствие.;This is a bad day. He is a bad driver. I have a bad feeling.
50;general;2;Kupujem;Купујем;assets/images/words/kupujem.png;assets/sounds/words/kupujem.wav;Покупаю;I buy;Kupujem hleb svaki dan. Kupujem novu jaknu. Kupujem povrće na pijaci.;Я покупаю хлеб каждый день. Я покупаю новую куртку. Я покупаю овощи на рынке.;I buy bread every day. I am buying a new jacket. I buy vegetables at the market.
51;general;2;Jedan;Један;assets/images/words/jedan.png;assets/sounds/words/jedan.wav;Один;One;Imam jedan brat. Jedan je moj omiljeni broj. Popio sam jednu kafu.;У меня есть один брат. Один — моё любимое число. Я выпил одну чашку кофе.;I have one brother. One is my favorite number. I drank one coffee.
52;general;2;Dva;Два;assets/images/words/dva.png;assets/sounds/words/dva.wav;Два;Two;Imam dva psa. Čekaj dva minuta. Kupio sam dva sendviča.;У меня две собаки. Подожди две минуты. Я купил два сэндвича.;I have two dogs. Wait two minutes. I bought two sandwiches.
53;general;2;Tri;Три;assets/images/words/tri.png;assets/sounds/words/tri.wav;Три;Three;Imam tri knjige. Sastanak je za tri sata. Ona ima tri deteta.;У меня три книги. Встреча через три часа. У неё трое детей.;I have three books. The meeting is in three hours. She has three children.
54;general;2;Četiri;Четири;assets/images/words/cetiri.png;assets/sounds/words/cetiri.wav;Четыре;Four;Ima četiri sobe u stanu. Idemo u četiri sata. Kupio sam četiri jabuke.;В квартире четыре комнаты. Мы идём в четыре часа. Я купил четыре яблока.;There are four rooms in the apartment. We're leaving at four o'clock. I bought four apples.
55;general;2;Pet;Пет;assets/images/words/pet.png;assets/sounds/words/pet.wav;Пять;Five;Imam pet minuta. Ima pet ljudi u sobi. Vraćam se za pet dana.;У меня есть пять минут. В комнате пять человек. Я вернусь через пять дней.;I have five minutes. There are five people in the room. I'll be back in five days.
56;general;2;Šest;Шест;assets/images/words/sest.png;assets/sounds/words/sest.wav;Шесть;Six;Ustajem u šest ujutru. Ima šest stolica. Šest meseci je prošlo.;Я встаю в шесть утра. Здесь шесть стульев. Прошло шесть месяцев.;I get up at six in the morning. There are six chairs. Six months have passed.
57;general;2;Sedam;Седам;assets/images/words/sedam.png;assets/sounds/words/sedam.wav;Семь;Seven;Radim sedam sati dnevno. Ima sedam dana u nedelji. Vraćam se za sedam minuta.;Я работаю семь часов в день. В неделе семь дней. Я вернусь через семь минут.;I work seven hours a day. There are seven days in a week. I'll be back in seven minutes.
58;general;2;Osam;Осам;assets/images/words/osam.png;assets/sounds/words/osam.wav;Восемь;Eight;Spavam osam sati. Ima osam gostiju. Sastanak počinje u osam.;Я сплю восемь часов. Здесь восемь гостей. Встреча начинается в восемь.;I sleep eight hours. There are eight guests. The meeting starts at eight.
59;general;2;Devet;Девет;assets/images/words/devet.png;assets/sounds/words/devet.wav;Девять;Nine;Škola počinje u devet. Ima devet stolova. Star je devet godina.;Школа начинается в девять. Здесь девять столов. Ему девять лет.;School starts at nine. There are nine tables. He is nine years old.
60;general;2;Deset;Десет;assets/images/words/deset.png;assets/sounds/words/deset.wav;Десять;Ten;Imam deset prstiju. Čekaj deset minuta. Ima deset učenika u razredu.;У меня десять пальцев. Подожди десять минут. В классе десять учеников.;I have ten fingers. Wait ten minutes. There are ten students in the class.
61;general;2;Veoma;Веома;assets/images/words/veoma.png;assets/sounds/words/veoma.wav;Очень;Very;Ona je veoma lepa. To je veoma važno. On je veoma umoran.;Она очень красивая. Это очень важно. Он очень устал.;She is very beautiful. That is very important. He is very tired.
62;general;2;Posle;После;assets/images/words/posle.png;assets/sounds/words/posle.wav;После;After / later;Vidimo se posle. Posle ručka idemo u šetnju. On je stigao posle mene.;Увидимся позже. После обеда мы идём на прогулку. Он приехал после меня.;See you later. After lunch we go for a walk. He arrived after me.
63;general;2;Koliko;Колико;assets/images/words/koliko.png;assets/sounds/words/koliko.wav;Сколько;How much/many;Koliko košta ova majica? Koliko imaš godina? Koliko je sati?;Сколько стоит эта футболка? Сколько тебе лет? Сколько сейчас времени?;How much does this T-shirt cost? How old are you? What time is it?
64;general;2;Prvi;Први;assets/images/words/prvi.png;assets/sounds/words/prvi.wav;Первый;First;On je prvi u redu. Ovo je moj prvi dan na poslu. Prvi put sam u Beogradu.;Он первый в очереди. Это мой первый день на работе. Я впервые в Белграде.;He is first in line. This is my first day at work. I'm in Belgrade for the first time.
65;general;2;Drugi;Други;assets/images/words/drugi.png;assets/sounds/words/drugi.wav;Второй;Second, other;Ona je stigla druga. Uzeću drugi primerak. Drugi ljudi misle drugačije.;Она пришла второй. Я возьму другой экземпляр. Другие люди думают иначе.;She arrived second. I'll take the other copy. Other people think differently.
66;general;2;Ideja;Идеја;assets/images/words/ideja.png;assets/sounds/words/ideja.wav;Идея;Idea;Imam odličnu ideju za projekat. Njena ideja je bila jednostavna, ali efikasna. Nemam pojma odakle mu ta ideja.;У меня отличная идея для проекта. Её идея была простой, но эффективной. Понятия не имею, откуда у него эта идея.;I have a great idea for the project. Her idea was simple but effective. I have no idea where he got that idea.
67;general;2;Pitanje;Питање;assets/images/words/pitanje.png;assets/sounds/words/pitanje.wav;Вопрос;Question;Imam jedno pitanje za tebe. Njeno pitanje je bilo vrlo jasno. Postavio je teško pitanje na ispitu.;У меня есть один вопрос к тебе. Её вопрос был очень ясным. Он задал сложный вопрос на экзамене.;I have one question for you. Her question was very clear. He asked a difficult question on the exam.
68;general;2;Problem;Проблем;assets/images/words/problem.png;assets/sounds/words/problem.wav;Проблема;Problem;Imamo mali problem sa autom. Rešili smo problem zajedno. Ovaj problem je teže rešiti nego što izgleda.;У нас небольшая проблема с машиной. Мы вместе решили проблему. Эту проблему сложнее решить, чем кажется.;We have a small problem with the car. We solved the problem together. This problem is harder to solve than it seems.
69;general;2;Sreća;Срећа;assets/images/words/sreca.png;assets/sounds/words/sreca.wav;Счастье;Happiness / luck;Poželela mu je sreću pred ispit. Sreća je stvar trenutka. Osećala je pravu sreću tog dana.;Она пожелала ему удачи перед экзаменом. Счастье — вопрос момента. В тот день она чувствовала настоящее счастье.;She wished him luck before the exam. Happiness is a matter of the moment. She felt real happiness that day.
70;general;2;Vreme;Време;assets/images/words/vreme.png;assets/sounds/words/vreme.wav;Время;Time / weather;Nemam vremena za odmor ovih dana. Vreme je danas prelepo za šetnju. Vreme brzo prolazi kad se zabavljaš.;В эти дни у меня нет времени на отдых. Сегодня прекрасная погода для прогулки. Время быстро летит, когда весело.;I don't have time to rest these days. The weather is beautiful today for a walk. Time flies fast when you're having fun.
71;general;2;Grad;Град;assets/images/words/grad.png;assets/sounds/words/grad.wav;Город;City;Živim u velikom gradu. Ovaj grad ima bogatu istoriju. Volimo da šetamo kroz stari deo grada.;Я живу в большом городе. У этого города богатая история. Мы любим гулять по старой части города.;I live in a big city. This city has a rich history. We love walking through the old part of the city.
72;general;2;Pod;Под;assets/images/words/pod.png;assets/sounds/words/pod.wav;Пол;Floor;Pod u kuhinji je od keramike. Deca se igraju na podu. Oprala je pod pre gostiju.;Пол на кухне керамический. Дети играют на полу. Она вымыла пол перед приходом гостей.;The kitchen floor is ceramic. The children are playing on the floor. She washed the floor before the guests arrived.
73;general;2;Zid;Зид;assets/images/words/zid.png;assets/sounds/words/zid.wav;Стена;Wall;Slika visi na zidu dnevne sobe. Obojili smo zid u svetlo plavu boju. Zid je bio pun grafita.;Картина висит на стене гостиной. Мы покрасили стену в светло-голубой цвет. Стена была вся в граффити.;The picture hangs on the living room wall. We painted the wall light blue. The wall was covered with graffiti.
74;general;2;Novine;Новине;assets/images/words/novine.png;assets/sounds/words/novine.wav;Газета;Newspaper;Čita novine svako jutro uz kafu. Kupio je novine na kiosku. U novinama je pisalo o novom zakonu.;Он читает газету каждое утро за кофе. Он купил газету в киоске. В газете писали о новом законе.;He reads the newspaper every morning with coffee. He bought a newspaper at the kiosk. The newspaper wrote about the new law.
75;general;2;Pismo;Писмо;assets/images/words/pismo.png;assets/sounds/words/pismo.wav;Письмо;Letter;Napisala mi je dugo pismo. Stiglo je pismo od strica iz inostranstva. Poslao sam pismo prošle nedelje.;Она написала мне длинное письмо. Пришло письмо от дяди из-за границы. Я отправил письмо на прошлой неделе.;She wrote me a long letter. A letter arrived from uncle abroad. I sent the letter last week.
76;general;2;Broj;Број;assets/images/words/broj.png;assets/sounds/words/broj.wav;Число;Number;Zapisala sam njen broj telefona. Koji je broj tvoje kuće? Broj učenika u razredu je porastao.;Я записала её номер телефона. Какой номер твоего дома? Число учеников в классе выросло.;I wrote down her phone number. What's your house number? The number of students in the class has increased.
77;general;2;Ime;Име;assets/images/words/ime.png;assets/sounds/words/ime.wav;Имя;Name;Kako se zove, koje mu je ime? Zaboravila sam njeno ime. Dala je detetu ime po baki.;Как его зовут, какое у него имя? Я забыла её имя. Она назвала ребёнка в честь бабушки.;What's his name? I forgot her name. She named the child after her grandmother.
78;general;2;Ključ;Кључ;assets/images/words/kljuc.png;assets/sounds/words/kljuc.wav;Ключ;Key;Izgubio sam ključ od stana. Stavila je ključ na sto. Zaključala je vrata i sakrila ključ.;Я потерял ключ от квартиры. Она положила ключ на стол. Она заперла дверь и спрятала ключ.;I lost the key to my apartment. She put the key on the table. She locked the door and hid the key.
79;general;2;Knjiga;Књига;assets/images/words/knjiga.png;assets/sounds/words/knjiga.wav;Книга;Book;Čitam zanimljivu knjigu ovih dana. Ova knjiga je bila bestseler prošle godine. Kupila sam joj knjigu za rođendan.;В эти дни я читаю интересную книгу. Эта книга была бестселлером в прошлом году. Я купила ей книгу на день рождения.;I'm reading an interesting book these days. This book was a bestseller last year. I bought her a book for her birthday.
80;general;2;Krevet;Кревет;assets/images/words/krevet.png;assets/sounds/words/krevet.wav;Кровать;Bed;Legao je u krevet rano uveče. Kupili smo novi krevet za spavaću sobu. Deca skaču po krevetu.;Он лёг в кровать рано вечером. Мы купили новую кровать в спальню. Дети прыгают на кровати.;He went to bed early in the evening. We bought a new bed for the bedroom. The children are jumping on the bed.
81;general;2;Lampa;Лампа;assets/images/words/lampa.png;assets/sounds/words/lampa.wav;Лампа;Lamp;Upalila je lampu jer je bilo mračno. Lampa na stolu daje toplu svetlost. Kupila sam novu lampu za dnevnu sobu.;Она включила лампу, потому что было темно. Лампа на столе даёт тёплый свет. Я купила новую лампу для гостиной.;She turned on the lamp because it was dark. The lamp on the desk gives a warm light. I bought a new lamp for the living room.
82;general;2;Natpis;Натпис;assets/images/words/natpis.png;assets/sounds/words/natpis.wav;Надпись;Sign / inscription;"Na vratima je stajao natpis ""Zatvoreno"". Pročitala je natpis na spomeniku. Natpis na prodavnici je bio na dva jezika.";На двери висела табличка «Закрыто». Она прочитала надпись на памятнике. Вывеска на магазине была на двух языках.;"On the door there was a sign that said ""Closed"". She read the inscription on the monument. The shop sign was in two languages."
83;general;2;Ogledalo;Огледало;assets/images/words/ogledalo.png;assets/sounds/words/ogledalo.wav;Зеркало;Mirror;Pogledala se u ogledalo pre izlaska. Ogledalo u hodniku je veliko. Razbio je slučajno ogledalo.;Она посмотрела в зеркало перед выходом. Зеркало в коридоре большое. Он случайно разбил зеркало.;She looked in the mirror before going out. The mirror in the hallway is big. He accidentally broke the mirror.
84;general;2;Olovka;Оловка;assets/images/words/olovka.png;assets/sounds/words/olovka.wav;Карандаш;Pencil;Piše domaći olovkom. Izgubio je olovku na času. Olovka mi se slomila usred pisanja.;Он пишет домашнее задание карандашом. Он потерял карандаш на уроке. Карандаш сломался прямо во время письма.;He does his homework with a pencil. He lost his pencil in class. My pencil broke while I was writing.
85;general;2;Polica;Полица;assets/images/words/polica.png;assets/sounds/words/polica.wav;Полка;Shelf;Knjige su poređane na polici. Postavio je novu policu u kuhinji. Polica se srušila pod težinom knjiga.;Книги расставлены на полке. Он установил новую полку на кухне. Полка обвалилась под тяжестью книг.;The books are arranged on the shelf. He installed a new shelf in the kitchen. The shelf collapsed under the weight of the books.
86;general;2;Prozor;Прозор;assets/images/words/prozor.png;assets/sounds/words/prozor.wav;Окно;Window;Otvorila je prozor da provetri sobu. Kroz prozor se vidi ceo grad. Prozor je bio zatvoren celu noć.;Она открыла окно, чтобы проветрить комнату. Из окна виден весь город. Окно было закрыто всю ночь.;She opened the window to air out the room. You can see the whole city through the window. The window was closed all night.
87;general;2;Reč;Реч;assets/images/words/rec.png;assets/sounds/words/rec.wav;Слово;Word;Nisam razumeo tu reč. Rekla mi je samo par reči. Ova reč ima nekoliko značenja.;Я не понял это слово. Она сказала мне всего пару слов. У этого слова несколько значений.;I didn't understand that word. She said only a few words to me. This word has several meanings.
88;general;2;Rečnik;Речник;assets/images/words/recnik.png;assets/sounds/words/recnik.wav;Словарь;Dictionary;Koristim rečnik kada učim nove reči. Ovaj rečnik ima preko sto hiljada reči. Kupila sam srpsko-ruski rečnik.;Я использую словарь, когда учу новые слова. В этом словаре более ста тысяч слов. Я купила сербско-русский словарь.;I use a dictionary when learning new words. This dictionary has over a hundred thousand words. I bought a Serbian-Russian dictionary.
89;general;2;Slika;Слика;assets/images/words/slika.png;assets/sounds/words/slika.wav;Картина;Picture;Naslikao je prelepu sliku planine. Slika visi iznad kreveta. Poslala mi je sliku sa putovanja.;Он написал прекрасную картину горы. Картина висит над кроватью. Она прислала мне фото с поездки.;He painted a beautiful picture of the mountain. The picture hangs above the bed. She sent me a picture from her trip.
90;general;2;Slovo;Слово;assets/images/words/slovo.png;assets/sounds/words/slovo.wav;Буква;Letter (of alphabet);Ovo slovo se retko koristi u srpskom jeziku. Naučila je sva slova azbuke. Napisao je svoje ime velikim slovima.;Эта буква редко используется в сербском языке. Она выучила все буквы алфавита. Он написал своё имя заглавными буквами.;This letter is rarely used in the Serbian language. She learned all the letters of the alphabet. He wrote his name in capital letters.
91;general;2;Stolica;Столица;assets/images/words/stolica.png;assets/sounds/words/stolica.wav;Стул;Chair;Sedeo je na drvenoj stolici. Kupili smo nove stolice za trpezariju. Stolica je bila prevrnuta na podu.;Он сидел на деревянном стуле. Мы купили новые стулья для столовой. Стул лежал перевёрнутым на полу.;He sat on a wooden chair. We bought new chairs for the dining room. The chair was overturned on the floor.
92;general;2;Sveska;Свеска;assets/images/words/sveska.png;assets/sounds/words/sveska.wav;Тетрадь;Notebook;Piše domaći u svesku. Kupila je novu svesku za školu. Zaboravila je svesku kod kuće.;Он пишет домашнее задание в тетради. Она купила новую тетрадь для школы. Она забыла тетрадь дома.;He writes his homework in a notebook. She bought a new notebook for school. She forgot her notebook at home.
