id;category;lv;sr;ru;en
83;prodavnica;3;Mogu li da vratim ovu robu?;Могу я вернуть этот товар?;Can I return this item?
84;prodavnica;3;Da li je moguća zamena bez računa?;Возможен ли обмен без чека?;Is an exchange possible without a receipt?
85;prodavnica;3;Ovaj proizvod ima garanciju i isporuku.;На этот товар есть гарантия и доставка.;This product has a warranty and delivery.
86;prodavnica;3;Nažalost, ovaj proizvod nemamo na stanju.;К сожалению, этого товара у нас нет в наличии.;Unfortunately, we don't have this product in stock.
87;prodavnica;3;Nemam sitno, možete li da mi date kusur?;У меня нет мелочи, можете дать сдачу?;I don't have small change, can you give me change?
88;prodavnica;3;Skenirajte moju bonus karticu, molim vas.;Отсканируйте мою бонусную карту, пожалуйста.;Scan my bonus card, please.
89;prodavnica;3;Kupujem testeninu, začine i pirinač.;Я покупаю макароны, специи и рис.;I'm buying pasta, spices, and rice.
90;prodavnica;3;Idem na pijacu subotom po povrće.;Я хожу на рынок по субботам за овощами.;I go to the market on Saturdays for vegetables.
91;dom;1;Ovo je moja soba, ona je velika.;Это моя комната, она большая.;This is my room, it's big.
92;dom;1;Kuhinja je mala ali lepa.;Кухня маленькая, но красивая.;The kitchen is small but nice.
93;dom;1;Kupatilo je pored spavaće sobe.;Ванная рядом со спальней.;The bathroom is next to the bedroom.
94;dom;1;Gledamo televiziju u dnevnoj sobi.;Мы смотрим телевизор в гостиной.;We watch TV in the living room.
95;dom;1;Krevet je udoban i nov.;Кровать удобная и новая.;The bed is comfortable and new.
96;dom;1;Kuhinjski sto je pored prozora.;Кухонный стол у окна.;The kitchen table is by the window.
97;dom;1;Zatvori vrata, molim te.;Закрой дверь, пожалуйста.;Close the door, please.
98;dom;1;Otvori prozor, vruće je danas.;Открой окно, сегодня жарко.;Open the window, it's hot today.
99;dom;1;Mleko je u frižideru.;Молоко в холодильнике.;The milk is in the fridge.
100;dom;1;Kupam se svako veče posle posla.;Я принимаю душ каждый вечер после работы.;I take a shower every evening after work.
101;dom;2;Deca vole kupatilsku kadu uveče.;Дети любят ванну вечером.;Kids love the bathtub in the evening.
102;dom;2;Operi ruke u lavabou pre jela.;Помой руки в раковине перед едой.;Wash your hands in the sink before eating.
103;dom;2;Odeća je u ormanu, a knjige na polici.;Одежда в шкафу, а книги на полке.;The clothes are in the wardrobe, and the books are on the shelf.
104;dom;2;Upali lampu, molim te, mračno je.;Включи лампу, пожалуйста, темно.;Turn on the lamp, please, it's dark.
105;dom;2;Zatvori zavese uveče kad je hladno.;Закрой шторы вечером, когда холодно.;Close the curtains in the evening when it's cold.
106;dom;2;Uzmi ćebe i jastuk, hladno je.;Возьми одеяло и подушку, холодно.;Take a blanket and pillow, it's cold.
107;dom;2;Perem sudove u sudoperi svaki dan.;Я мою посуду в мойке каждый день.;I wash the dishes in the sink every day.
108;dom;2;Usisavam pod usisivačem subotom.;Я пылесошу пол пылесосом по субботам.;I vacuum the floor on Saturdays.
109;dom;2;Deca se igraju u dvorištu i na balkonu.;Дети играют во дворе и на балконе.;The kids are playing in the yard and on the balcony.
110;dom;2;Naš komšija živi na trećem spratu.;Наш сосед живёт на третьем этаже.;Our neighbor lives on the third floor.
111;dom;3;Peglam košulje nedeljom uveče.;Я глажу рубашки по воскресеньям вечером.;I iron shirts on Sunday evenings.
112;dom;3;Namestim krevet svako jutro pre posla.;Я заправляю кровать каждое утро перед работой.;I make the bed every morning before work.
113;dom;3;Zalivam cveće u saksiji svaki dan.;Я поливаю комнатное растение каждый день.;I water the potted plant every day.
114;dom;3;Popravljam slavinu koja curi u kupatilu.;Я чиню кран, который течёт в ванной.;I'm fixing the faucet that's leaking in the bathroom.
115;dom;3;Nestalo je struje pa je hladno u kući.;Электричество отключилось, поэтому в доме холодно.;The power went out, so it's cold in the house.
116;dom;3;Izgubio sam ključ od kuće juče.;Я потерял ключ от дома вчера.;I lost my house key yesterday.
117;dom;3;Sijalica je pregorela u dnevnoj sobi.;Лампочка перегорела в гостиной.;The light bulb burned out in the living room.
118;dom;3;Plaćam kiriju stanodavcu prvog u mesecu.;Я плачу аренду арендодателю первого числа месяца.;I pay rent to the landlord on the first of the month.
119;dom;3;Kupujemo nov nameštaj za dnevnu sobu.;Мы покупаем новую мебель для гостиной.;We're buying new furniture for the living room.
120;dom;3;Auto je u garaži pored ograde.;Машина в гараже рядом с забором.;The car is in the garage next to the fence.
121;city;1;Živim u ovoj ulici već pet godina.;Я живу на этой улице уже пять лет.;I've lived on this street for five years.
122;city;1;Sastajemo se na trgu u podne.;Мы встречаемся на площади в полдень.;We're meeting at the square at noon.
123;city;1;Šetamo se u parku posle ručka.;Мы гуляем в парке после обеда.;We walk in the park after lunch.
124;city;1;Most vodi preko reke do centra.;Мост ведёт через реку к центру.;The bridge leads across the river to the center.
125;city;1;Radim u centru grada svaki dan.;Я работаю в центре города каждый день.;I work in the city center every day.
126;city;1;Ova zgrada je visoka i lepa.;Это здание высокое и красивое.;This building is tall and beautiful.
127;city;1;Sačekaj zeleno na semaforu, molim te.;Подожди зелёный на светофоре, пожалуйста.;Wait for the green light, please.
128;city;1;Prelazim ulicu na pešačkom prelazu.;Я перехожу улицу по пешеходному переходу.;I cross the street at the crosswalk.
129;city;1;Koja je tvoja adresa u ovom gradu?;Какой у тебя адрес в этом городе?;What is your address in this city?
130;city;1;Crkva je stara, lepa i poznata.;Церковь старая, красивая и известная.;The church is old, beautiful, and well-known.
131;city;2;Živim u predgrađu, blizu stare varoši.;Я живу в пригороде, рядом со старым городом.;I live in a suburb, near the old town.
132;city;2;Biblioteka je otvorena do osam uveče.;Библиотека открыта до восьми вечера.;The library is open until eight in the evening.
133;city;2;Muzej je zatvoren ponedeljkom, znam.;Музей закрыт по понедельникам, я знаю.;The museum is closed on Mondays, I know.
134;city;2;Idemo u pozorište ili u bioskop večeras?;Мы идём сегодня в театр или в кино?;Are we going to the theater or the cinema tonight?
135;city;2;Utakmica je na stadionu u tri sata.;Матч на стадионе в три часа.;The match is at the stadium at three o'clock.
136;city;2;Bolnica je blizu železničke stanice.;Больница рядом с железнодорожным вокзалом.;The hospital is near the train station.
137;city;2;Spomenik je u centru trga, veoma je star.;Памятник в центре площади, он очень старый.;The monument is in the center of the square, it's very old.
138;city;2;Skreni desno na raskrsnici, pa pravo.;Поверни направо на перекрёстке, потом прямо.;Turn right at the intersection, then straight.
139;city;2;Tvrđava je iznad reke, znamenitost je grada.;Крепость над рекой — достопримечательность города.;The fortress above the river is a landmark of the city.
140;city;2;Robna kuća i pošta su u centru.;Универмаг и почта в центре.;The department store and post office are in the center.
141;city;3;Centar je pešačka zona, auta ne mogu tamo.;Центр — пешеходная зона, машины туда не могут.;The center is a pedestrian zone, cars can't go there.
142;city;3;Ovo naselje je novo i mirno.;Этот жилой массив новый и тихий.;This residential area is new and quiet.
143;city;3;Sokak vodi do malog dvorišta.;Переулок ведёт в маленький двор.;The alley leads to a small yard.
144;city;3;Prodavnica je na bulevaru, pored fontane.;Магазин на бульваре, рядом с фонтаном.;The store is on the boulevard, next to the fountain.
145;city;3;Auto ide preko nadvožnjaka i onda skreće levo.;Машина едет через путепровод, а затем поворачивает налево.;The car goes over the overpass and then turns left.
146;city;3;Živimo na periferiji grada, daleko od centra.;Мы живём на окраине города, далеко от центра.;We live on the outskirts of the city, far from the center.
147;city;3;Popeli smo se do vidikovca da vidimo panoramu grada.;Мы поднялись на смотровую площадку, чтобы увидеть панораму города.;We climbed up to the viewpoint to see the city skyline.
148;city;3;Ovo je poznata znamenitost, svi turisti dolaze ovde.;Это известная достопримечательность, сюда приезжают все туристы.;This is a famous landmark, all tourists come here.
149;city;3;Sedimo na klupi u gradskom parku.;Мы сидим на скамейке в городском парке.;We're sitting on a bench in the city park.
150;city;3;Fasada ove stare zgrade je obnovljena prošle godine.;Фасад этого старого здания отремонтирован в прошлом году.;The facade of this old building was renovated last year.
151;transport;1;Idem autobusom na posao svako jutro.;Я езжу на работу на автобусе каждое утро.;I go to work by bus every morning.
152;transport;1;Voz kasni deset minuta danas.;Поезд сегодня опаздывает на десять минут.;The train is ten minutes late today.
153;transport;1;Zovem taksi do hotela sada.;Я вызываю такси до отеля сейчас.;I'm calling a taxi to the hotel now.
154;transport;1;Tramvaj staje ovde, blizu parka.;Трамвай останавливается здесь, рядом с парком.;The tram stops here, near the park.
155;transport;1;Letim avionom do Beograda sledeće nedelje.;Я лечу самолётом до Белграда на следующей неделе.;I'm flying to Belgrade by plane next week.
156;transport;1;Vozim bicikl svako jutro kad je lepo vreme.;Я езжу на велосипеде каждое утро, когда хорошая погода.;I ride a bicycle every morning when the weather is nice.
157;transport;1;Idem na posao pešice, nije daleko.;Я иду на работу пешком, это недалеко.;I go to work on foot, it's not far.
158;transport;1;Kupujem kartu za voz na stanici.;Я покупаю билет на поезд на станции.;I'm buying a train ticket at the station.
159;transport;1;Idite pravo do semafora, pa desno.;Идите прямо до светофора, потом направо.;Go straight to the traffic light, then right.
160;transport;1;Skrenite levo posle mosta, molim vas.;Поверните налево после моста, пожалуйста.;Turn left after the bridge, please.
161;transport;2;U Beogradu nema metroa, samo autobusi i tramvaji.;В Белграде нет метро, только автобусы и трамваи.;There's no metro in Belgrade, only buses and trams.
162;transport;2;Vozač je veoma pažljiv i miran.;Водитель очень внимательный и спокойный.;The driver is very careful and calm.
163;transport;2;Aerodrom je udaljen dvadeset minuta odavde.;Аэропорт в двадцати минутах отсюда.;The airport is twenty minutes from here.
164;transport;2;Autobuska stanica je pored pijace, blizu centra.;Автовокзал рядом с рынком, недалеко от центра.;The bus station is next to the market, near the center.
165;transport;2;Kupujem mesečnu kartu za autobus svaki mesec.;Я покупаю месячный проездной на автобус каждый месяц.;I buy a monthly bus pass every month.
166;transport;2;Koliko dugo traje vožnja do aerodroma?;Как долго длится поездка до аэропорта?;How long does the ride to the airport take?
167;transport;2;Kada polazi sledeći autobus za centar?;Когда отправляется следующий автобус в центр?;When does the next bus to the center depart?
168;transport;2;Ima kašnjenje od pola sata, nažalost.;К сожалению, опоздание на полчаса.;Unfortunately, there's a half-hour delay.
169;transport;2;Silazim na sledećoj stanici, hvala vam.;Я выхожу на следующей остановке, спасибо вам.;I'm getting off at the next stop, thank you.
170;transport;2;U autobusu je velika gužva ujutru.;Утром в автобусе большая толчея.;There's a big crowd on the bus in the morning.
171;transport;3;Izgubio sam se, gde je centar grada?;Я заблудился, где центр города?;I'm lost, where is the city center?
172;transport;3;Kako da dođem do železničke stanice odavde?;Как мне добраться до железнодорожного вокзала отсюда?;How do I get to the train station from here?
173;transport;3;Koja linija autobusa ide do aerodroma?;Какая автобусная линия идёт до аэропорта?;Which bus line goes to the airport?
174;transport;3;Pređite ulicu kod semafora, pa idite pravo.;Перейдите улицу у светофора, потом идите прямо.;Cross the street at the traffic light, then go straight.
175;transport;3;Taksi stanica je preko puta hotela.;Стоянка такси напротив отеля.;The taxi stand is across from the hotel.
176;transport;3;Skrenite u prvu ulicu desno, blizu je.;Поверните на первую улицу направо, это близко.;Turn onto the first street on the right, it's close.
177;transport;3;Peške je blizu, samo pet minuta odavde.;Пешком это близко, всего пять минут отсюда.;It's a short walk, just five minutes from here.
178;transport;3;Treba mi vozačka dozvola za rentakar.;Мне нужны права для аренды машины.;I need a driver's license for the car rental.
179;transport;3;Kupujem povratnu kartu do Novog Sada danas.;Я покупаю сегодня билет туда и обратно до Нови-Сада.;I'm buying a round-trip ticket to Novi Sad today.
180;transport;3;Autobus kasni petnaest minuta zbog gužve.;Автобус опаздывает на пятнадцать минут из-за пробки.;The bus is fifteen minutes late due to traffic.
181;work;1;Radim u kancelariji od devet do pet.;Я работаю в офисе с девяти до пяти.;I work in an office from nine to five.
182;work;1;Moj kolega je danas bolestan i nije na poslu.;Мой коллега сегодня болен и не на работе.;My colleague is sick today and not at work.
183;work;1;Šef je na sastanku sa klijentom.;Начальник на встрече с клиентом.;The boss is in a meeting with the client.
184;work;1;Imamo sastanak u deset, ne kasni.;У нас совещание в десять, не опаздывай.;We have a meeting at ten, don't be late.
185;work;1;Ovaj zadatak je hitan, rok je sutra.;Эта задача срочная, дедлайн завтра.;This task is urgent, the deadline is tomorrow.
186;work;1;Plata stiže prvog u mesecu svaki put.;Зарплата приходит первого числа каждый раз.;The salary arrives on the first of the month every time.
187;work;1;Šaljem email klijentu pre podneva.;Я отправляю письмо клиенту до полудня.;I'm sending an email to the client before noon.
188;work;1;Potpiši ovaj dokument, molim te.;Подпиши этот документ, пожалуйста.;Sign this document, please.
189;work;1;Radimo na novom projektu ove nedelje.;Мы работаем над новым проектом на этой неделе.;We're working on a new project this week.
190;work;1;Klijent je zadovoljan našim radom.;Клиент доволен нашей работой.;The client is satisfied with our work.
191;work;2;Ovo je moje radno mesto već tri godine.;Это моё рабочее место уже три года.;This has been my workplace for three years.
192;work;2;Poslodavac nudi dobre uslove za zaposlene.;Работодатель предлагает хорошие условия для сотрудников.;The employer offers good conditions for employees.
193;work;2;Radim prekovremeno ove nedelje zbog roka.;Я работаю сверхурочно на этой неделе из-за дедлайна.;I'm working overtime this week because of the deadline.
194;work;2;Ona je na bolovanju već nedelju dana.;Она на больничном уже неделю.;She's been on sick leave for a week already.
195;work;2;Imam intervju za posao sutra ujutru.;У меня завтра утром собеседование.;I have a job interview tomorrow morning.
196;work;2;Poslao sam biografiju kompaniji juče.;Я отправил резюме компании вчера.;I sent my CV to the company yesterday.
197;work;2;Radim u malom timu sa dobrim kolegama.;Я работаю в маленькой команде с хорошими коллегами.;I work in a small team with good colleagues.
198;work;2;Pripremam prezentaciju za sledeći sastanak.;Я готовлю презентацию к следующему совещанию.;I'm preparing a presentation for the next meeting.
199;work;2;Poslao sam fakturu klijentu jutros.;Я отправил счёт клиенту сегодня утром.;I sent the invoice to the client this morning.
200;work;2;Idem na poslovni put sledećeg meseca.;Я еду в командировку в следующем месяце.;I'm going on a business trip next month.
201;work;3;Potpisao sam ugovor o radu prošle nedelje.;Я подписал трудовой договор на прошлой неделе.;I signed the employment contract last week.
202;work;3;Probni rad traje tri meseca u ovoj firmi.;Испытательный срок в этой фирме длится три месяца.;The probation period at this company lasts three months.
203;work;3;Firma plaća zdravstveno osiguranje za sve zaposlene.;Фирма оплачивает медицинскую страховку для всех сотрудников.;The company pays for health insurance for all employees.
204;work;3;Dobio sam bonus za dobre rezultate ove godine.;Я получил премию за хорошие результаты в этом году.;I got a bonus for good results this year.
205;work;3;Imamo fleksibilno radno vreme i rad od kuće.;У нас гибкий график и работа из дома.;We have flexible hours and remote work.
206;work;3;Sastali smo se sa poslovnim partnerom danas.;Мы встретились сегодня с деловым партнёром.;We met with our business partner today.
207;work;3;Naš cilj je povećanje prihoda ove godine.;Наша цель — увеличение дохода в этом году.;Our goal is to increase revenue this year.
208;work;3;Radna sredina u ovoj firmi je prijatna.;Рабочая среда в этой фирме приятная.;The work environment at this company is pleasant.
209;work;3;Tražim bolju ravnotežu posao-život ove godine.;Я ищу лучший баланс работы и жизни в этом году.;I'm looking for a better work-life balance this year.
210;work;3;Prisustvujem radionici o veštinama sledeće nedelje.;Я посещаю воркшоп по навыкам на следующей неделе.;I'm attending a skills workshop next week.
211;study;1;Studiram na fakultetu u Beogradu već dve godine.;Я учусь в университете в Белграде уже два года.;I've been studying at a university in Belgrade for two years.
212;study;1;On je student prve godine i mlad je.;Он студент первого курса и молодой.;He's a first-year student and young.
213;study;1;Profesor drži predavanje o istoriji.;Профессор читает лекцию по истории.;The professor is giving a lecture on history.
214;study;1;Imam ispit sutra, moram da učim.;У меня завтра экзамен, мне нужно учить.;I have an exam tomorrow, I need to study.
215;study;1;Dobio sam odličnu ocenu na testu.;Я получил отличную оценку за тест.;I got an excellent grade on the test.
216;study;1;Radim domaći zadatak svako veče posle škole.;Я делаю домашнее задание каждый вечер после школы.;I do my homework every evening after school.
217;study;1;Udžbenik je težak, ali zanimljiv.;Учебник тяжёлый, но интересный.;The textbook is heavy, but interesting.
218;study;1;Zapisujem beleške u svesku na času.;Я записываю заметки в тетрадь на уроке.;I write notes in my notebook during class.
219;study;1;On je u sedmom razredu ove godine.;Он в этом году в седьмом классе.;He's in seventh grade this year.
220;study;1;Učiteljica je strpljiva i pametna žena.;Учительница терпеливая и умная женщина.;The teacher is a patient and smart woman.
221;study;2;Ovaj semestar ima šest predmeta, veoma je zauzeto.;В этом семестре шесть предметов, очень занято.;This semester has six subjects, it's very busy.
222;study;2;Matematika je moj omiljeni predmet u školi.;Математика — мой любимый предмет в школе.;Math is my favorite subject at school.
223;study;2;Dobila je stipendiju za studije prošle godine.;Она получила стипендию на учёбу в прошлом году.;She got a scholarship for her studies last year.
224;study;2;Predajem seminarski rad u petak ujutru.;Я сдаю курсовую в пятницу утром.;I'm submitting my term paper on Friday morning.
225;study;2;Učim u biblioteci fakulteta svaki dan.;Я учусь в библиотеке факультета каждый день.;I study at the faculty library every day.
226;study;2;Naša grupa ima dvadeset studenata ove godine.;В нашей группе в этом году двадцать студентов.;Our group has twenty students this year.
227;study;2;Treba mi još deset bodova za ocenu.;Мне нужно ещё десять баллов для оценки.;I need ten more points for the grade.
228;study;2;Živim u studentskom domu, blizu fakulteta.;Я живу в общежитии, рядом с факультетом.;I live in a dormitory, near the faculty.
229;study;2;Ručam u menzi svaki dan sa prijateljima.;Я обедаю в столовой каждый день с друзьями.;I have lunch at the cafeteria every day with friends.
230;study;2;Imamo kratak test danas na času.;У нас сегодня короткий тест на уроке.;We have a short quiz today in class.
231;study;3;Akademska godina počinje u oktobru svake godine.;Учебный год начинается в октябре каждый год.;The academic year starts in October every year.
232;study;3;Upisala je master studije prošlog leta.;Она поступила в магистратуру прошлым летом.;She enrolled in a master's program last summer.
233;study;3;Moj mentor rada je strog, ali fer čovek.;Мой научный руководитель строгий, но справедливый человек.;My thesis advisor is a strict but fair person.
234;study;3;Biram izborni predmet ovog semestra sam.;Я сама выбираю факультатив в этом семестре.;I'm choosing an elective this semester myself.
235;study;3;Idem na konsultacije kod profesora sledeće nedelje.;Я иду на консультацию к профессору на следующей неделе.;I'm going to the professor's office hours next week.
236;study;3;Moja prosečna ocena je devet ove godine.;Мой средний балл в этом году девять.;My GPA this year is nine.
237;study;3;Odbrana diplomskog rada je u julu, znam datum.;Защита дипломной работы в июле, я знаю дату.;The thesis defense is in July, I know the date.
238;study;3;Predajem dokumenta u studentskoj službi sutra.;Я сдаю документы в студенческую службу завтра.;I'm submitting documents at the student services office tomorrow.
239;study;3;Pokazujem studentsku iskaznicu za popust u prodavnici.;Я показываю студенческий билет для скидки в магазине.;I show my student ID for a discount at the store.
240;study;3;Januarski ispitni rok je najduži i najteži.;Январская сессия самая длинная и самая тяжёлая.;The January exam session is the longest and hardest.
241;health;1;Boli me glava od jutros.;У меня болит голова с утра.;My head has been hurting since this morning.
242;health;1;Boli me stomak posle ručka.;У меня болит живот после обеда.;My stomach hurts after lunch.
243;health;1;Povredio sam ruku juče na poslu.;Я повредил руку вчера на работе.;I injured my arm yesterday at work.
244;health;1;Boli me grlo kad gutam vodu.;У меня болит горло, когда я глотаю воду.;My throat hurts when I swallow water.
245;health;1;Imam groznicu i drhtim od hladnoće.;У меня жар, и я дрожу от холода.;I have a fever and I'm shivering from the cold.
246;health;1;Idem kod lekara sutra ujutru.;Я иду к врачу завтра утром.;I'm going to the doctor tomorrow morning.
247;health;1;Doktorka me je pregledala i dala mi lek.;Врач меня осмотрела и дала мне лекарство.;The doctor examined me and gave me medicine.
248;health;1;Kupujem lek u apoteci posle posla.;Я покупаю лекарство в аптеке после работы.;I'm buying medicine at the pharmacy after work.
249;health;1;Osećam se bolesno danas, moram da odmorim.;Я сегодня чувствую себя больным, мне нужно отдохнуть.;I feel sick today, I need to rest.
